term,meaning,type,latin,native,language
gadam,dense,m,,गाढ,sanskrit
gadar,fence,o,gader,גָּדֵר,hebrew
gadas,lentil,o,ʿadas,عَدَس,arabic
gadir,cloud,o,gaḍērḥ,गडेरः,sanskrit
gafar,forgive,a,ḡafara,غَفَرَ,arabic
gaflat,inattention,o,ghaflah,غَفْلَة,arabic
gag,child,o,,,
gagen,reform,o,gǎigé,改革,chinese
gahav,pride,o,ga'ava,גַּאֲווָה,hebrew
gal,exponent,o,,,
galif,carve,a,legal(e)f,לְגַלֵּף,hebrew
galil,cylinder,o,galil,גָּלִיל,hebrew
galim,embody,a,legal(e)m,לְגַלֵּם,hebrew
galot,discover,a,legal(o)t,לְגַלּוֹת,hebrew
galtxal,superb,m,gāo chāo,高超,chinese
galut,exile,o,galut,גָּלוּת,hebrew
galxiq,loud,m,gaosheng,高声,chinese
gam,too,m,gam,גַּם,hebrew
gamal,camel,o,gamál,גָּמָל,hebrew
gamat,come,a,,गमति,sanskrit
gambir,serious,m,,गम्भीर,sanskrit
gan,organ (body),o,,,
ganam,-gon (polygon),o,,,english
ganan,reckon,a,,गणन,sanskrit
ganav,steal,a,ganáv,גָּנַב,hebrew
gandam,bubble,o,gaṇḍa,गण्ड,sanskrit
gandjiq,clean,a,ganjing,干净,chinese
ganran,infect,a,gǎnrǎn,感染,chinese
gantxiq,emotion,o,gǎnqíng,感情,chinese
ganxum,instill,a,guanshu,灌输,chinese
ganzoq,trace,a,genzong,跟踪,chinese
gapif,cuddle,o,legap(e)f,לְגַפֵּף,hebrew
gaq,uh,m,,,
gaqbol,cursor,o,guangbiao,光标,chinese
gaqgan,awkward,m,ganga,尴尬,chinese
gaqtxin,piano,o,gangqin,钢琴,chinese
gaqxul,optics,o,guangxue,光学,chinese
garam,cost,a,gharama,,swahili
garaz,lubricate,a,legaR(e)z,לְגָרֵז,hebrew
garCur,garden,o,,garður,icelandic
gard,g sound,o,,,
gardjar,carrot,o,gārjara,गार्जर,sanskrit
gardjat,growl,o,,गर्जति,sanskrit
garid,scratch,a,legaR(e)d,לְגָרֵד,hebrew
garin,nucleus,o,gar'in,גַּרְעִין,hebrew
garm,arm,m,arm,,english
garon,deficit,o,gera'on,גֵּירָעוֹן,hebrew
garor,drag,o,ligR(o)R,לִגְרוֹר,hebrew
garos,gregarious,m,gregarious,,english
garot,provoke,a,legaR(o)t,לְגָרוֹת,hebrew
garur,delusion,o,ḡurūr,غُرُور,arabic
garzin,axe,o,garzen,גַּרְזֶן,hebrew
gas,gas,o,,,english
gasut,discourtesy,o,gasut,גַּסּוּת,hebrew
gatx,german i vowel sound,o,,,
gav,how (missing-action-focus),a,,,
gavan,diverse,m,legav(e)n,לְגַווֵּן,hebrew
gavist,eager,m,gáviṣṭi,गविष्टि,sanskrit
gavur,chicken,o,gever,גֶּבֶר,hebrew
gax,only,m,,,
gaxal,efficient,m,gaoxiao,高效,chinese
gaxax,scout,o,gashash,גַּשָּׁשׁ,hebrew
gaxox,probe,o,gashosh,גָּשׁוֹשׁ,hebrew
gayaq,utmost,m,ghayah,غَايَة,arabic
gayat,recite,a,gā́yati,गायति,sanskrit
gayim,cloudy,m,ghāyim,غَائِم,arabic
gayin,snipe,a,,,latin
gayis,recruit,a,legay(e)s,לְגַייֵּס,hebrew
gej,engage,a,,,english
geliq,seclude,a,geli,隔离,chinese
gem,game,o,,,english
gemz,vowel e sound,o,,,
gen,again (re-),a,,,english
genan,gain,a,,,
gepar,scold,o,ge'ara,גְּעָרָה,hebrew
geqzal,worse,m,gèng zāo,更糟,chinese
geren,personal,m,gè rén,个人,chinese
gerud,itch,o,gerud,גֵּירוּד,hebrew
get,get,a,,,english
gevin,cheese,o,geviynah,גְּבִינָה,hebrew
gexim,rain,o,geshem,גֶּשֶׁם,hebrew
gexiq,personality,o,gexing,个性,chinese
gexir,bridge,o,gesher,גֶּשֶׁר,hebrew
gibor,hero,o,gibor,גִּיבּוֹר,hebrew
gibux,consolidate,a,gibush,גִּיבּוּשׁ,hebrew
gilgul,metamorphosis,o,gilgul,גִּילְגּוּל,hebrew
gimlan,benefit,o,gimla,גִּמְלָה,hebrew
gin,the nature of doing x (-ence),m,,,
ginab,grape,o,ʿinab,عِنَب,arabic
giv,give,a,,,
giyus,recruitment,a,giyus,גִּיּוּס,hebrew
giz,position,o,,,
gleg,leg,m,leg,,english
glexar,glacier,o,,,english
glob,planet,o,,,english
gluman,gluon,m,gluon,,english
godal,magnitude,o,godel,גּוֹדֶל,hebrew
godjyam,nation,o,guójiā,国家,chinese
gojam,parrot,o,goja,,french
gokam,factor,o,goQem,גּוֹרֵם,hebrew
gol,end,o,,,
gom,go,a,,,english
gondjuk,instrument,o,gōngjù,工具,chinese
gonpiq,fair (just),a,gōngpíng,公平,chinese
gonzik,salary,o,gōng zī,工资,chinese
goqgoq,common,m,gōnggòng,公共,chinese
goqluk,highway,o,gōng lù,公路,chinese
goqneq,function,o,gōngnéng,功能,chinese
goqsip,firm,o,gōng sī,公司,chinese
goqtxeq,engineering,o,gōng chéng,工程,chinese
goqtxul,job,o,gongzuo,工作,chinese
goqyep,industry,o,gōngyè,工业,chinese
goqyik,craft,o,gōng yì,工艺,chinese
goqyuk,apartment,o,gōng yù,公寓,chinese
goral,fate/destiny,o,goral,גּוֹרָל,hebrew
gorem,factor (math),o,gorem,גורם,hebrew
gov,govern,a,,,english
govak,height,a,góvah,גֹּבַהּ,hebrew
gowar,abroad,m,guó wài,国外,chinese
graft,graft,o,,,english
gram,gram (measure),a,,,english
grap,issue,a,,,
grasan,grass,a,,,english
gravan,rock,a,gravan,ग्रावन्,sanskrit
gribas,grebe,a,,,english
grubnat,seize,o,,गृभ्णाति,sanskrit
grunat,grab,a,,गृह्णाति,sanskrit
grupan,group (math),o,,,english
gub,tangent,o,,,
gudal,thumb,o,agudal,אֲגוּדָל,hebrew
gudjin,assess,a,gūjì,估计,chinese
gudoq,agitate,a,gǔ dòng,鼓动,chinese
gudut,solitude,o,gudu,孤独,chinese
gudyan,classic,o,gǔdiǎn,古典,chinese
gugwal,outlandish,o,gǔ guài,古怪,chinese
guj,strong agree,a,,,
gujan,gouge (indent),a,gouge,,french
gultxup,preach,a,guchui,鼓吹,chinese
gun,quality,o,guṇa,गुण,sanskrit
guput,quaint,m,gǔ pǔ,古朴,chinese
gusul,bath,o,ġusl,غسل,arabic
gutik,pill,o,guṭikā,गुटिका,sanskrit
guvul,border,o,gvul,גְּבוּל,hebrew
guwon,bewitched,o,gǔ huò,蛊惑,chinese
gux,memory (storage medium),o,,,
guxik,scam,o,gùshì,故事,chinese
gwandjun,champion,o,guàn jūn,冠军,chinese
gwanlik,manage,a,guǎnlǐ,管理,chinese
gwantxap,observe,a,guānchá,观察,chinese
gwantxaq,square,o,guǎng chǎng,广场,chinese
gwanxiq,inertia,a,guàn xìng,惯性,chinese
gwanyan,notion,o,guānniàn,观念,chinese
gwaqbol,broadcast,o,guǎngbō,广播,chinese
gwaqdem,disk,o,guāngdié,光碟,chinese
gwaqgal,ad,o,guǎng gào,广告,chinese
gwidal,orbit,o,guidao,轨道,chinese
gwigeq,specify,a,guīgé,规格,chinese
gwiyuk,chub,o,guī yú,鲑鱼,chinese
gwodup,transition,o,guò dù,过渡,chinese
gwotxeq,mechanism,o,guòchéng,过程,chinese
gwowit,congress,o,guó huì,国会,chinese
hab,grow,a,,,
habaC,applaud,o,ḥabbaḏa,حَبَّذَ,arabic
habak,embrace,a,ḥăḇaq,חֲבַק,hebrew
habal,rope,o,ḥabl,حَبْل,arabic
habav,cherish,a,leHab(e)v,לְחַבֵּב,hebrew
habil,sabotage,a,leHab(e)l,לְחַבֵּל,hebrew
habjur,abjure,a,abjurer,,french
habrid,hybrid,o,,,english
habrop,abrupt,m,,,english
habsent,absence,o,,,english
habsten,abstain,o,,,english
habstrak,abstract,o,abstract,,english
habzar,physically distinct item,o,ʾaḇzā́r,אַבְזָר,hebrew
haCab,torture,o,ʿaḏāb,عَذَاب,arabic
hacak,urge,o,ḥaṯṯa,حَثَّ,arabic
haCan,announce,o,ʾāḏana,آذَنَ,arabic
haCfel,asymptote,o,,aðfella,icelandic
haCik,proficient,a,ḥāḏiq,حَاذِق,arabic
haCir,cautious,m,ḥaḏir,حَذِر,arabic
hadad,define,a,haddada,حَدَّدَ,arabic
hadak,seduction,o,hadacha,הַדָּחָה,hebrew
hadam,human,o,adam,אָדָם,hebrew
hadarx,mirror,o,,आदर्श,sanskrit
hadas,myrtle,o,hadas,הֲדַס,hebrew
hadax,lens,o,adasha,עֲדָשָׁה,hebrew
hadgim,demonstrate,a,lehadg(i)m,לְהַדְגִּים,hebrew
hadhak,displacement of water by submerged body,a,hedchek,הֶדְחֵק,hebrew
hadic,news,o,ḥadīṯ,حَدِيث,arabic
hadid,resonate,a,lehadh(e)d,לְהַדְהֵד,hebrew
hadik,fasten,a,lehad(e)k,לְהַדֵּק,hebrew
hadjan,convince,a,ḥajja,حَجَّ,arabic
hadjat,propel,a,,अजति,sanskrit
hadkik,repress,a,lehadH(i)k,לְהַדְחִיק,hebrew
hadof,repel,a,lahad(o)f,לַהֲדוֹף,hebrew
hadon,mister,o,adon,אָדוֹן,hebrew
hadpis,print,m,lehadp(i)s,לְהַדְפִּיס,hebrew
hadvat,non-dual,m,advaita,अद्वैत,sanskrit
hafak,production,o,hafaka,הֲפָקָה,hebrew
hafat,curb,o,hāf,fah,arabic
hafid,conserve,a,hafiza,حفظ,arabic
hafif,congruence (geometry),o,chafifa,חֲפִיפָה,hebrew
hafik,derive,a,lehaf(i)k,לְהָפִיק,hebrew
hafil,encourage,a,lehaf'(i)l,לְהַפְעִיל,hebrew
hafim,expend,a,huafei,花费,chinese
hafir,sever,a,lehaf(e)R,לְהָפֵר,hebrew
hafkid,deposit,o,lehafk(i)d,לְהַפְקִיד,hebrew
hafkir,forfeit,o,lehafk(i)R,לְהַפְקִיר,hebrew
haflit,eject,a,lehafl(i)t,לְהַפְלִיט,hebrew
haflot,discriminate,a,lehafl(o)t,לְהַפְלוֹת,hebrew
hafnot,refer,a,lehafn(o)t,לְהַפְנוֹת,hebrew
hafor,grey,o,afor,אָפֹר,hebrew
hafsik,interrupt,a,lehafs(i)k,לְהַפְסִיק,hebrew
haftir,exempt,a,lehaft(i)R,לְהַפְטִיר,hebrew
hafug,break,a,hafuga,הֲפוּגָה,hebrew
hafxir,thaw,a,lehafx(i)R,לְהַפְשִׁיר,hebrew
hafzitz,bomb,o,lehaftz(i)tz,לְהַפְצִיץ,hebrew
hag,open,o,,,
hagad,legend,o,agada,אַגָּדָה,hebrew
hagam,theory,o,,आगम,sanskrit
hagan,defense,a,hagana,הֲגַנָּה,hebrew
hagas,pear tree,o,agas,אַגָּס,hebrew
hagbil,confine,a,lehagb(i)l,לְהַגְבִּיל,hebrew
hagbir,boost,o,lehagb(i)R,לְהַגְבִּיר,hebrew
hagid,tell,a,lehag(i)d,לְהַגִּיד,hebrew
hagin,defend,a,lehag(e)n,לְהָגֵן,hebrew
hagiv,react,a,lehag(i)v,לְהָגִיב,hebrew
hagix,serve,a,lehag(i)x,לְהַגִּישׁ,hebrew
haglid,scar,o,lehagl(i)d,לְהַגְלִיד,hebrew
hagor,belt,o,chagora,חֲגוֹרָה,hebrew
hagot,pronounce,a,lahag(o)t,לַהֲגוֹת,hebrew
hagrat,fee,o,agra,אַגְרָה,hebrew
hagzam,exaggeration,a,hagzama,הַגְזָמָה,hebrew
hagzim,exaggerate,a,lehagz(i)m,לְהַגְזִים,hebrew
hajur,aperture,o,ajour,,french
hak,activity,a,,,
hakab,obstacle,a,ʿaqaba,عَقَبَة,arabic
hakaC,captivate,a,ʾaḵḵāḏ,أَخَّاذ,arabic
hakad,tie,a,ʿaqád,עָקַד,hebrew
hakal,relief,a,hakala,הֲקַלָּה,hebrew
hakam,establish,a,hakama,הֲקָמָה,hebrew
hakan,preparation,a,hachana,הֲכָנָה,hebrew
hakant,account,o,,,english
hakar,recognition,a,hakara,הַכָּרָה,hebrew
hakat,miss,a,lehaHat(i),לְהַחֲטִיא,hebrew
hakav,heel,o,akev,עָקֵב,hebrew
hakbar,mouse,o,achbar,עַכְבָּר,hebrew
hakbid,burden,a,lehaHb(i)d,לְהַכְבִּיד,hebrew
hakdix,dedicate,a,lehakd(i)x,לְהַקְדִּישׁ,hebrew
hakif,enforcement,a,achifa,אֲכִיפָה,hebrew
hakik,engraving,a,chakika,חֲקִיקָה,hebrew
hakim,learn,a,lehaHk(i)m,לְהַחְכִּים,hebrew
hakir,acquaint,a,lehak(i)R,לְהַכִּיר,hebrew
haklat,resolution,a,hachlata,הַחְלָטָה,hebrew
hakliv,staple (action),a,lehaHl(i)v,לְהַכְלִיב,hebrew
haknik,choke,a,lehaHn(i)k,לְהַחְנִיק,hebrew
hakniq,subdue,a,lehaHn(i)a,לְהַכְנִיעַ,hebrew
hakot,simulate,a,leHak(o)t,לְחַקּוֹת,hebrew
hakrav,scorpion,o,akrav,עַקְרָב,hebrew
hakron,limb,o,akro,άκρο,greek
haksim,enchant,o,lehaks(i)m,לְהַקְסִים,hebrew
hakstiqk,extinct,m,extinct,,english
hakun,meadow,o,achu,אָחוּ,hebrew
hakveC,determinant (math),o,,ákveða,icelandic
hakxar,imperishable,o,akshara,अक्षर,sanskrit
hakxav,attention,o,hakshava,הַקְשָׁבָה,hebrew
hakxiv,esteem,o,lehaHx(i)v,לְהַחְשִׁיב,hebrew
hakyan,mimic,a,chakyan,חַקְייָן,hebrew
hakzin,express,a,lehaHtz(i)n,לְהַחְצִין,hebrew
hal,span,o,,,
halak,law,o,halacha,הֲלָכָה,hebrew
halal,permissible,m,halal,حلال,arabic
haland,island,o,,,english
halav,milk,o,chalav,חָלָב,hebrew
halax,weak,o,halash,חַלָּשׁ,hebrew
halbon,protein,o,chelbon,חֶלְבּוֹן,hebrew
hald,hot,o,,,english
halif,suit (clothing),o,Haliyfah,חֲלִיפָה,hebrew
halig,mock,o,lehal'(i)g,לְהַלְעִיג,hebrew
halil,flute,o,chalil,חֲלִיל,hebrew
halip,plausible,m,heli,合理,chinese
halis,exact,m,halisi,,swahili
halit,eagle (bird),o,ayit,עַיִט,hebrew
haliv,offend,a,leha'al(i)v,לְהַעֲלִיב,hebrew
halkal,permeate,a,leHalH(e)l,לְחַלְחֵל,hebrew
halkel,nourish,o,leHalk(e)l,לְכַלְכֵּל,hebrew
halket,allocate,a,,,english
halmus,elm,o,,,english
halom,daze,o,lahal(o)m,לַהֲלוֹם,hebrew
haltur,moonlighting,o,chaltura,חַלְטוּרָה,hebrew
halud,rust,o,chalud,חֲלוּדָה,hebrew
haluf,option,o,chalufa,חֲלוּפָה,hebrew
haluk,distribute,o,chaluka,חֲלוּקָּה,hebrew
halut,spoon,o,,ᐊᓘᑦ,inuktitut
halutz,pioneer,o,chalutz,חָלוּץ,hebrew
halwak,luxury,o,háo huá,豪华,chinese
halwik,remorse,o,ào huǐ,懊悔,chinese
halyur,allure,o,,,english
hamad,stand,a,amád,עָמַד,hebrew
hamem,stun,a,leham(e)m,לְהַמֵּם,hebrew
hamik,pelt,o,,ᐊᒥᖅ,inuktitut
hamin,honest,m,amîn,أَمِيْن,arabic
hamis,melt,o,leham(i)s,לְהָמִיס,hebrew
hamlitz,recommend,a,lehaml(i)tz,לְהַמְלִיץ,hebrew
hamon,crowd/mob,o,hamon,הָמוֹן,hebrew
hamos,ferret,o,chamos,חָמוֹס,hebrew
hamot,hum,o,leham(o)t,לְהַמּוֹת,hebrew
hamp,ampere (electric current),o,,,english
hamplot,employ,o,,,english
hamrid,instigate,a,lehamR(i)d,לְהַמְרִיד,hebrew
hamsan,duck (animal),o,haṃsa,हंस,sanskrit
hamtzan,oxygen,o,chamtzan,חַמְצָן,hebrew
hamud,column,o,amud,עַמּוּד,hebrew
han,zero,o,,,
hanak,giant,o,anak,עֲנָק,hebrew
hanand,bliss,o,Ānanda,आनन्द,sanskrit
handan,bleak,m,àn dàn,暗淡,chinese
hankit,impose,a,lehanH(i)t,לְהַנְחִית,hebrew
hanmik,diminish,a,lehanm(i)H,לְהַנְמִיךְ,hebrew
hanpal,arrange,a,ānpái,安排,chinese
hantik,antique,m,,,english
hantxat,incline,a,,अञ्चति,sanskrit
hantxwan,safe,m,ānquán,安全,chinese
hanuk,ceremony,o,chanuka,חֲנוּכָּה,hebrew
hanxaq,serene,m,anxiang,安详,chinese
hanxim,resuscitate,a,lehanx(i)m,לְהַנְשִׁים,hebrew
hanyon,park (vehicle),o,chanyon,חַנְיוֹן,hebrew
hanzwaq,mount,o,ānzhuāng,安装,chinese
hap,event,o,,,
hapan,diminution,o,hāpana,हापन,sanskrit
hapend,append,a,,,english
hapiz,appease,a,,,english
hapot,overlap,a,leHap(o)t,לְחַפּוֹת,hebrew
haput,snow,o,,ᐊᐳᑦ,inuktitut
haq,formal,m,,,
haqid,compare,a,lehang(i)d,לְהַנְגִּיד,hebrew
haqlek,queue,o,hángliè,行列,chinese
haqtxim,evoke,a,huanqi,唤起,chinese
har,early,m,,,
harac,cultivate,a,ḥaraṯa,حَرَثَ,arabic
harad,rouse,o,haradha,حَرَضَ,arabic
haradj,prohibit,a,ḥarraja,حَرَّجَ,arabic
harak,scorch,o,haraqa,حَرَقَ,arabic
haram,forbidden/taboo,m,ḥarām,حَرَام,arabic
harar,mull,a,lehaRh(e)R,לְהַרְהֵר,hebrew
haras,grip,a,haras,हरस्,sanskrit
harat,till,m,ḥaraṯa,حَرَثَ,arabic
harax,dull,m,,अरस,sanskrit
harbitz,beat,o,lehaRb(i)tz,לְהַרְבִּיץ,hebrew
harCur,rigorous,m,,harður,icelandic
hard,hard (vs. soft),m,,,english
harest,arrest,o,,,english
hargal,habit,o,hergel,הֶרְגֵּל,hebrew
hargiz,irritate,a,lehaRg(i)z,לְהַרְגִּיז,hebrew
harig,exception,o,chariga,חֲרִיגָה,hebrew
harin,deer,o,hariṇá,हरिण,sanskrit
haritz,tyrant,o,aritz,עָרִיץ,hebrew
hariv,expand,a,lehaRH(i)v,לְהַרְחִיב,hebrew
harked,arcade,o,,,english
harmon,harmony,o,,,english
harnak,purse,o,arnak,אַרְנָק,hebrew
harok,squeak,o,laHaR(o)k,לַחֲרוֹק,hebrew
harpan,relaxation,o,harpaya,הַרְפָּיָה,hebrew
hartam,purpose,o,artha,अर्थ,sanskrit
hartiq,discourage,a,lehaRt(i)a,לְהַרְתִּיעַ,hebrew
hartxan,honor,o,arcana,अर्चन,sanskrit
hartzil,hertz,o,,,english
hartzin,sober,o,lehaRtz(i)n,לְהַרְצִין,hebrew
hartzot,lecture,o,lehaRtz(o)t,לְהַרְצוֹת,hebrew
harutz,ravine,o,arutz,עָרוּץ,hebrew
haruz,rhyme,o,charuz,חָרוּז,hebrew
harvik,whale,o,arviq,ᐊᕐᕕᖅ,inuktitut
harxak,conviction,o,harsha'a,הַרְשָׁעָה,hebrew
harxam,registration,o,harshama,הַרְשָׁמָה,hebrew
harxan,thrilling,m,harṣaṇa,हर्षण,sanskrit
harxim,impress,a,lehaRx(i)m,לְהַרְשִׁים,hebrew
harz,reptile,o,,,
has,medium,a,,,
hasak,remove,a,hasaQah,הֲסָרָה,hebrew
hasam,placement,o,hasama,הֲשָׂמָה,hebrew
hasap,convect,a,hasa'a,הַסָּעָה,hebrew
hasar,enclose,a,hasara,حَصَرَ,arabic
hasat,laugh,o,hásati,हसति,sanskrit
hasdir,resolve,a,lehasd(i)R,לְהַסְדִּיר,hebrew
hasend,ascend,a,,,english
hasgar,closure,o,hesger,הֶסְגֵּר,hebrew
hasig,recall,a,lehas(i)g,לְהַסִּיג,hebrew
hasik,deduce,a,lehas(i)k,לְהַסִּיק,hebrew
haskim,consent,a,lehask(i)m,לְהַסְכִּים,hebrew
haskit,listen,a,lehask(i)t,לְהַסְכִּית,hebrew
haslim,escalate,a,lehasl(i)m,לְהַסְלִים,hebrew
hasof,expose,a,laHas(o)f,לַחֲשׂוֹף,hebrew
hasom,awesome,a,,,english
hason,disaster,a,ason,אָסוֹן,hebrew
haspar,aspire,a,,,english
hasrat,film (video),o,hasrata,הַסְרָטָה,hebrew
hastok,bone,o,osto,οστό,greek
hasut,refuge,o,chasut,חָסוּת,hebrew
hasyam,ridiculous,a,,हास्य,sanskrit
hat,at,m,,,english
hatar,danger,a,hatari,,swahili
hatbil,dip,a,lehatb(i)l,לְהַטְבִּיל,hebrew
hatest,attest,a,,,english
hatgar,challenge,a,etgar,אֶתְגָר,hebrew
hatiC,festival,o,,hátíð,icelandic
hatif,advocate,o,lehat(i)f,לְהַטִּיף,hebrew
hatik,transfer,o,lehat(i)k,לְהַתִּיק,hebrew
hatir,attire,o,,,english
hatit,pry,a,leHat(e)t,לְחַטֵּט,hebrew
hatiz,squirt,o,lehat(i)z,לְהַתִּיז,hebrew
hatkaf,attack/seizure,a,hatkafa,הַתְקָפָה,hebrew
hatkan,installation,o,hatkana,הַתְקָנָה,hebrew
hatkin,install,a,lehatk(i)n,לְהַתְקִין,hebrew
hatman,soul,o,ātmán,आत्मन्,sanskrit
hatmid,persist,a,lehatm(i)d,לְהַתְמִיד,hebrew
hatom,seal,o,laHt(o)m,לַחְתּוֹם,hebrew
hatoq,contract,o,hetong,合同,chinese
hatot,tilt,a,lehat(o)t,לְהַטּוֹת,hebrew
hatrak,attract,a,,,english
hatrid,disturb,a,lehatR(i)d,לְהַטְרִיד,hebrew
hatsap,offer,o,hatsa'ah,הַצָעָה,hebrew
hatslan,sloth,o,atzlan,עַצְלָן,hebrew
hatvot,outline,o,lehatv(o)t,לְהַתְווֹת,hebrew
hatxol,cooperate,a,hezuo,合作,chinese
hatzal,casting a shadow,a,hatzala,הֲצָלָה,hebrew
hatzan,cool (action),a,lehatz(e)n,לְהָצֵן,hebrew
hatzar,declaration,o,hatzhara,הַצְהָרָה,hebrew
hatzat,ignite,a,hatzata,הַצָּתָה,hebrew
hatzav,nerve,o,atzav,עָצָב,hebrew
hatzdik,justify,a,lehatzd(i)k,לְהַצְדִּיק,hebrew
hatzdiq,salute,o,lehatzd(i)a,לְהַצְדִּיעַ,hebrew
hatzid,parade,o,lehatz'(i)d,לְהַצְעִיד,hebrew
hatzil,shade,o,lehatz(e)l,לְהָצֵל,hebrew
hatzir,hay,o,chatzir,חָצִיר,hebrew
hatzitz,peek,o,lehatz(i)tz,לְהָצִיץ,hebrew
hatzmid,attach,a,lehatzm(i)d,לְהַצְמִיד,hebrew
hatzot,intersect,a,laHatz(o)t,לַחֲצוֹת,hebrew
hatzum,petition,a,atzuma,עֲצוּמָה,hebrew
hav,have,a,,,
havaC,noise,o,,hávaði,icelandic
havar,syllable,o,havara,הֲבָרָה,hebrew
havas,defeat,o,havasa,הֲבָסָה,hebrew
havik,walrus,o,aiviq,ᐊᐃᕕᖅ,inuktitut
havil,scare,a,lehavh(i)l,לְהַבְהִיל,hebrew
havin,understand,o,lehav(i)n,לְהָבִין,hebrew
havis,oblation,a,havis,हविस्,sanskrit
havit,terrify,a,lehav'(i)t,לְהַבְעִית,hebrew
havkin,distinguish,a,lehavH(i)n,לְהַבְחִין,hebrew
havlit,highlight,o,lehavl(i)t,לְהַבְלִיט,hebrew
havon,sin,o,avon,עָווֹן,hebrew
havot,constitute,o,lehav(o)t,לְהַוּוֹת,hebrew
havrix,brush,o,lehavR(i)x,לְהַבְרִישׁ,hebrew
havriz,shirk,a,lehavR(i)z,לְהַבְרִיז,hebrew
havtak,ensure,a,lehavt(i)aH,לְהַבְטִיחַ,hebrew
havud,lost,a,avúd,אָבוּד,hebrew
hawal,convert,a,hawwala,حَوَّلَ,arabic
haxak,launch of new product,o,hashaka,הַשָּׁקָה,hebrew
haxav,calculate,o,leHax(e)v,לְחַשֵּׁב,hebrew
haxil,lend,o,lehax'(i)l,לְהַשְׁאִיל,hebrew
haxim,ravage,o,lehax(e)m,לְהָשֵׁם,hebrew
haxin,lean,o,lehax'(i)n,לְהַשְׁעִין,hebrew
haxir,molt,o,lehax(i)R,לְהַשִּׁיר,hebrew
haxiv,reply,a,lehax(i)v,לְהָשִׁיב,hebrew
haxkit,quiet,a,lehaxk(i)t,לְהַשְׁקִיט,hebrew
haxlak,implication,o,hashlacha,הַשְׁלָכָה,hebrew
haxlim,reconcile,o,lehaxl(i)m,לְהַשְׁלִים,hebrew
haxmad,extermination,o,hashmada,הַשְׁמָדָה,hebrew
haxmit,omit,a,lehaxm(i)t,לְהַשְׁמִיט,hebrew
haxmitz,libel,o,lehaxm(i)tz,לְהַשְׁמִיץ,hebrew
haxpak,influence,o,hashpa'a,הַשְׁפָּעָה,hebrew
haxpal,humiliation,o,hashpala,הַשְׁפָּלָה,hebrew
haxrak,inspiration,o,hashra'a,הַשְׁרָאָה,hebrew
haxritz,reproduce,o,lehaxR(i)tz,לְהַשְׁרִיץ,hebrew
haxrix,implant,o,lehaxR(i)x,לְהַשְׁרִישׁ,hebrew
haxtil,transplant,o,lehaxt(i)l,לְהַשְׁתִּיל,hebrew
hayat,tailor,o,chayat,חַייָּט,hebrew
hayeg,dial,o,leHay(e)g,לְחַייֵּג,hebrew
hayik,smile,o,leHay(e)H,לְחַייֵּךְ,hebrew
hayim,life,o,ḥayím,חַיִּים,hebrew
hayin,cushy,m,hayyin,هَيِّن,arabic
hazan,nourishing,m,hazana,הֲזָנָה,hebrew
hazif,frown,o,lehaz'(i)f,לְהַזְעִיף,hebrew
hazim,refute,a,lehaz(i)m,לְהָזִים,hebrew
hazir,pig,o,chazir,חֲזִיר,hebrew
hazkir,remind,a,lehazk(i)R,לְהַזְכִּיר,hebrew
hazlif,sprinkle,a,lehazl(i)f,לְהַזְלִיף,hebrew
hazman,invitation,o,hazmana,הַזְמָנָה,hebrew
hazmin,invite,a,lehazm(i)n,לְהַזְמִין,hebrew
hazor,return,a,laHaz(o)R,לַחֲזוֹר,hebrew
hazot,rave,o,lahaz(o)t,לַהֲזוֹת,hebrew
hazrik,inject,a,lehazR(i)k,לְהַזְרִיק,hebrew
hebin,shrimp (fish),o,ebi,海老,japanese
hed,head,o,,,english
hediz,hell,o,,,greek
hekir,characteristic,m,heker,הֶיכֵּר,hebrew
heksarp,excerpt,a,,,english
heksat,excite,a,,,english
hekspar,expire,a,,,english
hekxir,context,o,heksher,הֶקְשֵׁר,hebrew
helbon,insult,a,elbon,עֶלְבּוֹן,hebrew
helet,determine,a,hechlet,הֶחְלֵט,hebrew
helik,legitimate,m,hélǐ,合理,chinese
helip,rational,m,heli,合理,chinese
hem,hey,m,,,english
hemrald,emerald,o,,,english
hen,hi,m,,,
henrik,henry (measurement),o,,,english
hepin,hippie,o,,,english
heqkor,anchor,o,,,english
herand,errand,o,,,english
herer,juniper (tree),o,al-earear,العرعر,arabic
heres,heresy,o,,,english
heron,heron,o,,,english
heryuk,whisper,a,ěr yǔ,耳语,chinese
het,hate,a,,,english
hetxeq,synthetic,a,hé chéng,合成,chinese
hetxyan,yawn,a,hē qian,呵欠,chinese
hevis,aves (birds),o,,,latin
heyot,being,o,heyot,הֱיוֹת,hebrew
hezran,help,a,ezra,עֶזְרָה,hebrew
hibol,hyperbolic,o,,,english
hic,either,m,,,english
hiCal,whip,a,,hýða,icelandic
hicar,aether,o,,,english
hid,but,m,,,
hidik,trigger,a,hedek,הֶדֶק,hebrew
hidran,polyhedron,o,,,english
higbil,limit/restrict,a,higbíl,הִגְבִּיל,hebrew
higlik,bed,o,,ᐃᒡᓕᖅ,inuktitut
higoz,vanish,a,lehig(o)z,לְהִיגּוֹז,hebrew
higruf,fist,o,igruf,אִגְרוּף,hebrew
hikal,hall,o,hechal,הֵיכָל,hebrew
hikan,squid,o,ika,イカ,japanese
hikar,research,a,cheker,חֵקֶר,hebrew
